"user_hll","post_hll","pud_hll","latitude_4","longitude_4","emoji","latlng_geom"
"\x128b7f28fb51d498b33f02","\x128b7f8a00b4f20f0517b88f89728ceab11c2d9404fc142eec2eb69d775e05dc2a84702ef26bf03ca5b3fe3ebbd77435c65b82","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"🎉","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f28fb51d498b33f02","\x128b7f8a00b4f20f0517b88f89728ceab11c2d9404fc142eec2eb69d775e05dc2a84702ef26bf03ca5b3fe3ebbd77435c65b82","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"🌟","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f28fb51d498b33f02","\x128b7f2ef26bf03ca5b3fe","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"✨","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f28fb51d498b33f02","\x128b7f2ef26bf03ca5b3fe","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"🥳","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f28fb51d498b33f02","\x128b7f2ef26bf03ca5b3fe","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"🍾","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f28fb51d498b33f02","\x128b7f2ef26bf03ca5b3fe","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"🥂","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f28fb51d498b33f02","\x128b7f2ef26bf03ca5b3fe","\x128b7f2cf1b394c6a32bf6",54.404296875,-1.23046875,"🍻","0101000020E61000006806F1811D7FF4BF140CE71A66394B40"
"\x128b7f24fafa8716e96bf2","\x128b7fcbcfb128eb1e185a","\x128b7f8ccba47fd879617b",53.701171875,-1.93359375,"🥃","0101000020E6100000B6F0A3B7CB70FCBF5E69B67E3CE24A40"
"\x128b7ff05a0ee161d1fdcd","\x128b7f5cde94526c62f8ca","\x128b7fa76ffdb333f2958a",52.998046875,-1.58203125,"🌟","0101000020E6100000C81EA1664835F7BFA1BC8FA339864A40"
"\x128b7f1ac37d76edf834ea","\x128b7fb68ace10be697b8f","\x128b7fba718f623486df59",50.185546875,14.58984375,"🚗","0101000020E61000004D11431FEAE22C40FB5391A7B80C4940"
"\x128b7fe35505894235046619c19f5a501d715d","\x128b7f259d3899cf0f88ff3b0949d173a8989a6a9600830ecbdc8e","\x128b7fc16b63718a04bc003cd853c5ae10c5ff76fc93391ce2df31",51.591796875,-2.98828125,"🍾","0101000020E6100000E3395B40683D08C0373FFED2A2D24940"
"\x128b7fc87ccda486f2754d","\x128b7fc8092459f6eb6d5a","\x128b7f8d96be51a8f0ff94",49.833984375,11.42578125,"📸","0101000020E6100000AAB706B64AD026400A68226C78E24840"
"\x128b7fc0b58f8fca81934ee9d2a3f39faba34a367ec0378787a47b73fb6b9309c6973c","\x128b7fbdf889267a4993f6d2ad4f5b624a429cf7f5fd24ea873c2c1d6aa6c9f4fba238","\x128b7f966daa3c569b5c8bd200ea4fa104ec5beb52d440c08df94919ac0e2160c1d78c",53.349609375,-6.15234375,"💃🏾","0101000020E61000005725917D90FD18C06262F3716DAD4A40"
"\x128b7fd45f1d20825eb8aa","\x128b7fa6eaf15ce3e152d5d7fa6f21b50bdc7dde2d88f35d54278767bd5311328d104e","\x128b7fdcea4daf68e647ae0558ae9b47932593133efb2a74641ae444a9a578b531abb8",47.724609375,11.07421875,"😎","0101000020E6100000BC79AA436EDA2540E2AAB2EF8AE74740"
"\x128b7f9e0ff8f22c53033e19061f44e5401c03","\x128b7ff61b7539b96cadfd29f985026c5801f82b808237012c49b04e89a390df6829f0","\x128b7f8d4bac0a660f119acdf1c07bbacc5836dcbbc9bacb46d239697d9d797c366e5a",52.646484375,1.58203125,"🎉","0101000020E610000078EA9106B795FB3F606EF7729F534A40"
"\x128b7f12b0a827c100296b","\x128b7f01aed498b8b39089493fcc0481040be3","\x128b7fa482e7f04c66866e673f673fd0aee836",51.240234375,7.20703125,"🔥","0101000020E61000008C0B0742B2281C403530F2B226A54940"
